DATE,VALUE
2000-01,14.6
2000-02,15.4
2000-03,16
2000-04,16.3
2000-05,16.3
2000-06,16.2
2000-07,16.3
2000-08,16.7
2000-09,16.8
2000-10,17.1
2000-11,17.5
2000-12,18
2001-01,18.8
2001-02,19.5
2001-03,19.9
2001-04,20.3
2001-05,20.1
2001-06,19.5
2001-07,19.2
2001-08,19.1
2001-09,19.1
2001-10,19.6
2001-11,20.2
2001-12,20.3
2002-01,20.7
2002-02,20.1
2002-03,19.2
2002-04,18.7
2002-05,18.1
2002-06,17.6
2002-07,17.6
2002-08,17.7
2002-09,17.7
2002-10,17.8
2002-11,17.2
2002-12,16.3
2003-01,16.7
2003-02,15.5
2003-03,14.8
2003-04,14.3
2003-05,13.8
2003-06,13.4
2003-07,13
2003-08,12.8
2003-09,12.5
2003-10,12.6
2003-11,12.8
2003-12,13
2004-01,13.7
2004-02,13.5
2004-03,13
2004-04,12.7
2004-05,12.1
2004-06,11.5
2004-07,11.1
2004-08,10.9
2004-09,11.1
2004-10,11.8
2004-11,12
2004-12,11.9
2005-01,11.9
2005-02,11.4
2005-03,10.9
2005-04,10.5
2005-05,10
2005-06,9.5
2005-07,9.2
2005-08,9.1
2005-09,9.3
2005-10,9.8
2005-11,10
2005-12,10.1
2006-01,10.2
2006-02,9.7
2006-03,9.3
2006-04,9.1
2006-05,8.9
2006-06,8.9
2006-07,9
2006-08,8.9
2006-09,8.6
2006-10,8.4
2006-11,8.4
2006-12,8.4
2007-01,8.5
2007-02,8.1
2007-03,7.5
2007-04,7.1
2007-05,6.8
2007-06,6.7
2007-07,6.8
2007-08,6.7
2007-09,6.4
2007-10,6.2
2007-11,6
2007-12,6.2
2008-01,6.7
2008-02,6.6
2008-03,6.3
2008-04,6.1
2008-05,5.8
2008-06,5.5
2008-07,5.4
2008-08,5.2
2008-09,4.9
2008-10,4.8
2008-11,4.9
2008-12,5.4
2009-01,6.1
2009-02,6.5
2009-03,6.6
2009-04,6.5
2009-05,6.3
2009-06,6.3
2009-07,6.5
2009-08,6.7
2009-09,6.9
2009-10,7.3
2009-11,7.9
2009-12,8.7
2010-01,9.9
2010-02,10.3
2010-03,10.4
2010-04,10.4
2010-05,10
2010-06,9.6
2010-07,9.4
2010-08,9.4
2010-09,9.9
2010-10,10.7
2010-11,11.5
2010-12,11.9
2011-01,12.3
2011-02,12.2
2011-03,11.9
2011-04,11.8
2011-05,11.2
2011-06,10.7
2011-07,10.3
2011-08,10.2
2011-09,10.2
2011-10,10.8
2011-11,11.5
2011-12,12.1
2012-01,12.7
2012-02,13
2012-03,12.9
2012-04,12.8
2012-05,12.3
2012-06,11.9
2012-07,11.8
2012-08,11.5
2012-09,11.4
2012-10,11.9
2012-11,12.5
2012-12,12.8
2013-01,13.6
2013-02,13.9
2013-03,13.9
2013-04,13.7
2013-05,12.9
2013-06,12.3
2013-07,12.1
2013-08,11.9
2013-09,12.1
2013-10,12.7
2013-11,13.1
2013-12,13.3
2014-01,13.4
2014-02,13
2014-03,12.7
2014-04,12
2014-05,11.3
2014-06,10.8
2014-07,10.8
2014-08,10.7
2014-09,10.8
2014-10,10.8
2014-11,10.7
2014-12,10.4
2015-01,10.6
2015-02,10.5
2015-03,10.6
2015-04,10.5
2015-05,10
2015-06,9.3
2015-07,8.7
2015-08,8.3
2015-09,7.8
2015-10,7.7
2015-11,7.8
2015-12,8
2016-01,8.5
2016-02,8.6
2016-03,8.7
2016-04,8.5
2016-05,8
2016-06,7.6
2016-07,7.3
2016-08,7
2016-09,6.7
2016-10,6.7
2016-11,6.6
2016-12,6.7
2017-01,6.9
2017-02,6.9
2017-03,6.8
2017-04,6.6
2017-05,6.3
2017-06,6.1
2017-07,6
2017-08,5.9
2017-09,5.6
2017-10,5.6
2017-11,5.6
2017-12,5.7
2018-01,5.8
2018-02,5.7
2018-03,5.7
2018-04,5.7
2018-05,5.5
2018-06,5.2
2018-07,5.2
2018-08,5
2018-09,4.8
2018-10,4.7
2018-11,4.6
2018-12,4.7
2019-01,5.1
2019-02,5.1
2019-03,4.8
2019-04,4.5
2019-05,4.2
2019-06,3.9
2019-07,3.7
2019-08,3.6
2019-09,3.6
2019-10,3.9
2019-11,4.2
2019-12,4.3
2020-01,4.5
2020-02,4.4
2020-03,4.8
2020-04,6.2
2020-05,6.1
2020-06,5.4
2020-07,4.9
2020-08,4.7
2020-09,4.8
2020-10,5
2020-11,5.2
2020-12,5.5
