DATE,VALUE
2000-01,9.6
2000-02,9.6
2000-03,9.4
2000-04,9
2000-05,8.8
2000-06,8.3
2000-07,8.7
2000-08,8.7
2000-09,8.3
2000-10,8.3
2000-11,8.4
2000-12,8.2
2001-01,8.6
2001-02,8.6
2001-03,8.1
2001-04,8.2
2001-05,7.9
2001-06,7.8
2001-07,8
2001-08,8.5
2001-09,8.2
2001-10,7.6
2001-11,7.9
2001-12,8.1
2002-01,7.6
2002-02,7.8
2002-03,7.6
2002-04,6.8
2002-05,7.1
2002-06,7.1
2002-07,7
2002-08,7.5
2002-09,7.2
2002-10,6.9
2002-11,7.5
2002-12,7.4
2003-01,7.4
2003-02,7.6
2003-03,7.7
2003-04,7.4
2003-05,7.6
2003-06,7.5
2003-07,7.9
2003-08,7.9
2003-09,8.1
2003-10,7.9
2003-11,8
2003-12,8.3
2004-01,8.7
2004-02,9.1
2004-03,8.2
2004-04,8.3
2004-05,8.4
2004-06,7.8
2004-07,8.1
2004-08,8.4
2004-09,8.1
2004-10,8.5
2004-11,8.2
2004-12,7.7
2005-01,8.6
2005-02,8.6
2005-03,7.9
2005-04,8
2005-05,7.8
2005-06,7.7
2005-07,7.7
2005-08,7.8
2005-09,7.8
2005-10,7.8
2005-11,7.7
2005-12,7.9
2006-01,8.2
2006-02,7.6
2006-03,8.1
2006-04,7.1
2006-05,6.8
2006-06,7.3
2006-07,7
2006-08,6.8
2006-09,7.2
2006-10,6.5
2006-11,6.4
2006-12,6.6
2007-01,6.3
2007-02,6
2007-03,5.8
2007-04,5.5
2007-05,5.2
2007-06,5.2
2007-07,5.3
2007-08,5
2007-09,5.1
2007-10,5
2007-11,4.6
2007-12,4.9
2008-01,4.9
2008-02,4.8
2008-03,4.4
2008-04,4.3
2008-05,4
2008-06,4.4
2008-07,4.3
2008-08,4.2
2008-09,4.4
2008-10,4.1
2008-11,4.3
2008-12,4.8
2009-01,5.5
2009-02,5.9
2009-03,5.9
2009-04,6.3
2009-05,6.5
2009-06,6.3
2009-07,7
2009-08,7.7
2009-09,7.3
2009-10,7.1
2009-11,7.4
2009-12,7.3
2010-01,8
2010-02,8.4
2010-03,7.8
2010-04,7.2
2010-05,7.3
2010-06,6.9
2010-07,7.3
2010-08,7.2
2010-09,6.8
2010-10,7
2010-11,6.8
2010-12,6.8
2011-01,7.3
2011-02,7.4
2011-03,6.8
2011-04,6.9
2011-05,6.6
2011-06,6.6
2011-07,6.7
2011-08,6.4
2011-09,6.6
2011-10,6.5
2011-11,6.3
2011-12,6.5
2012-01,6.9
2012-02,7.4
2012-03,7
2012-04,6.8
2012-05,6.7
2012-06,6.5
2012-07,7
2012-08,7.3
2012-09,6.6
2012-10,7
2012-11,7.6
2012-12,6.9
2013-01,7.1
2013-02,7.9
2013-03,7.3
2013-04,6.8
2013-05,7.2
2013-06,6.4
2013-07,6.6
2013-08,7.3
2013-09,6.9
2013-10,6.3
2013-11,7
2013-12,6.8
2014-01,6.6
2014-02,6.9
2014-03,6.9
2014-04,6.1
2014-05,6
2014-06,6
2014-07,5.7
2014-08,6.4
2014-09,5.6
2014-10,5.4
2014-11,6.1
2014-12,5.7
2015-01,6
2015-02,6.2
2015-03,5.8
2015-04,5.2
2015-05,4.8
2015-06,4.8
2015-07,5.1
2015-08,4.8
2015-09,4.6
2015-10,4.5
2015-11,4.4
2015-12,4.5
2016-01,4.6
2016-02,4.4
2016-03,4.1
2016-04,4
2016-05,3.7
2016-06,4.1
2016-07,4.3
2016-08,3.7
2016-09,3.9
2016-10,3.7
2016-11,3.5
2016-12,3.6
2017-01,3.6
2017-02,3.5
2017-03,3.3
2017-04,3.3
2017-05,2.8
2017-06,2.8
2017-07,2.9
2017-08,2.8
2017-09,2.7
2017-10,2.6
2017-11,2.3
2017-12,2.3
2018-01,2.6
2018-02,2.6
2018-03,2.1
2018-04,2.2
2018-05,2.2
2018-06,2.2
2018-07,2.3
2018-08,2.5
2018-09,2.3
2018-10,2
2018-11,1.9
2018-12,2.3
2019-01,2.2
2019-02,1.8
2019-03,2.1
2019-04,2
2019-05,2
2019-06,1.7
2019-07,2.2
2019-08,2.1
2019-09,2.1
2019-10,2.1
2019-11,2
2019-12,1.9
2020-01,2.1
2020-02,1.9
2020-03,1.9
2020-04,2.1
2020-05,2.4
2020-06,2.6
2020-07,3
2020-08,2.8
2020-09,2.8
2020-10,3.1
2020-11,2.8
2020-12,3.1
