DATE,VALUE
2000-01,15.9
2000-02,16.7
2000-03,17
2000-04,16.8
2000-05,16.3
2000-06,15.9
2000-07,15.6
2000-08,15.4
2000-09,15.3
2000-10,15.4
2000-11,15.9
2000-12,16.7
2001-01,17.8
2001-02,18.4
2001-03,18.7
2001-04,18.7
2001-05,18.4
2001-06,18.2
2001-07,18
2001-08,17.9
2001-09,17.9
2001-10,18
2001-11,18.5
2001-12,19.2
2002-01,20.1
2002-02,20.4
2002-03,20.5
2002-04,20.4
2002-05,19.7
2002-06,19.9
2002-07,20
2002-08,19.9
2002-09,19.9
2002-10,19.7
2002-11,19.8
2002-12,20.1
2003-01,20.7
2003-02,20.8
2003-03,20.5
2003-04,19.8
2003-05,19.3
2003-06,19.3
2003-07,19.5
2003-08,19.5
2003-09,19.3
2003-10,19.1
2003-11,19.3
2003-12,19.9
2004-01,20.9
2004-02,21
2004-03,20.7
2004-04,19.8
2004-05,19.1
2004-06,18.8
2004-07,18.6
2004-08,18.3
2004-09,18.1
2004-10,18
2004-11,18
2004-12,18.4
2005-01,18.9
2005-02,19.2
2005-03,19.1
2005-04,18.6
2005-05,18.1
2005-06,17.9
2005-07,17.7
2005-08,17.5
2005-09,17.4
2005-10,17
2005-11,16.9
2005-12,16.8
2006-01,16.7
2006-02,16.3
2006-03,15.7
2006-04,14.9
2006-05,14.1
2006-06,13.6
2006-07,13.3
2006-08,13.2
2006-09,12.9
2006-10,12.5
2006-11,12.3
2006-12,12.1
2007-01,11.9
2007-02,11.4
2007-03,10.8
2007-04,10.1
2007-05,9.5
2007-06,9.1
2007-07,9.1
2007-08,9
2007-09,8.9
2007-10,8.6
2007-11,8.5
2007-12,8.4
2008-01,8.4
2008-02,8
2008-03,7.7
2008-04,7.3
2008-05,7
2008-06,6.7
2008-07,6.6
2008-08,6.5
2008-09,6.4
2008-10,6.3
2008-11,6.6
2008-12,7
2009-01,7.9
2009-02,8.3
2009-03,8.4
2009-04,8
2009-05,7.8
2009-06,7.7
2009-07,7.9
2009-08,8
2009-09,8.1
2009-10,8
2009-11,8.3
2009-12,9
2010-01,10.6
2010-02,10.8
2010-03,10.5
2010-04,9.9
2010-05,9.5
2010-06,9.2
2010-07,9.2
2010-08,9.1
2010-09,9.2
2010-10,9.2
2010-11,9.3
2010-12,9.6
2011-01,10
2011-02,10.1
2011-03,10
2011-04,9.7
2011-05,9.5
2011-06,9.2
2011-07,9.3
2011-08,9.3
2011-09,9.5
2011-10,9.5
2011-11,9.7
2011-12,10
2012-01,10.5
2012-02,10.6
2012-03,10.5
2012-04,10.1
2012-05,9.9
2012-06,9.7
2012-07,9.8
2012-08,9.9
2012-09,9.9
2012-10,9.9
2012-11,10.1
2012-12,10.4
2013-01,11.2
2013-02,11.4
2013-03,11.3
2013-04,10.9
2013-05,10.4
2013-06,10.1
2013-07,9.9
2013-08,9.8
2013-09,9.8
2013-10,9.6
2013-11,9.7
2013-12,10
2014-01,10.7
2014-02,10.8
2014-03,10.4
2014-04,9.7
2014-05,9.1
2014-06,8.6
2014-07,8.3
2014-08,8.1
2014-09,8.1
2014-10,8
2014-11,8.1
2014-12,8.3
2015-01,8.8
2015-02,8.8
2015-03,8.4
2015-04,7.8
2015-05,7.4
2015-06,7.1
2015-07,7.1
2015-08,7.1
2015-09,7.1
2015-10,6.9
2015-11,6.9
2015-12,6.9
2016-01,7.2
2016-02,7.1
2016-03,6.8
2016-04,6.4
2016-05,6.2
2016-06,6
2016-07,6
2016-08,6
2016-09,5.9
2016-10,5.7
2016-11,5.5
2016-12,5.5
2017-01,5.5
2017-02,5.4
2017-03,5.2
2017-04,5.1
2017-05,5
2017-06,4.8
2017-07,4.7
2017-08,4.7
2017-09,4.7
2017-10,4.6
2017-11,4.5
2017-12,4.4
2018-01,4.4
2018-02,4.2
2018-03,3.9
2018-04,3.7
2018-05,3.6
2018-06,3.6
2018-07,3.7
2018-08,3.9
2018-09,3.9
2018-10,3.8
2018-11,3.8
2018-12,3.8
2019-01,4.1
2019-02,4
2019-03,3.7
2019-04,3.4
2019-05,3.2
2019-06,3.1
2019-07,3.1
2019-08,3.1
2019-09,3.1
2019-10,2.9
2019-11,2.8
2019-12,2.9
2020-01,3.2
2020-02,3.2
2020-03,3
2020-04,3.1
2020-05,3.1
2020-06,3.2
2020-07,3.3
2020-08,3.3
2020-09,3.2
2020-10,3
2020-11,3
2020-12,3.3
