DATE,VALUE
2000-01,7.9
2000-02,7.9
2000-03,7.7
2000-04,7.4
2000-05,7.3
2000-06,7.4
2000-07,7.4
2000-08,7.4
2000-09,7.4
2000-10,7.7
2000-11,7.8
2000-12,7.8
2001-01,8.1
2001-02,7.9
2001-03,7.7
2001-04,7.1
2001-05,6.9
2001-06,6.8
2001-07,6.8
2001-08,6.9
2001-09,7
2001-10,7.5
2001-11,7.8
2001-12,8.2
2002-01,9.1
2002-02,9.2
2002-03,9.3
2002-04,8.7
2002-05,8.3
2002-06,8.3
2002-07,8.2
2002-08,8.1
2002-09,7.7
2002-10,7.9
2002-11,7.5
2002-12,7.5
2003-01,8
2003-02,8.3
2003-03,8.3
2003-04,7.7
2003-05,7.6
2003-06,7.2
2003-07,7.3
2003-08,7.4
2003-09,7.2
2003-10,7.8
2003-11,8
2003-12,8.2
2004-01,9.5
2004-02,8.2
2004-03,8.3
2004-04,8.1
2004-05,7.2
2004-06,7.6
2004-07,7.5
2004-08,7.9
2004-09,7.4
2004-10,8
2004-11,7.9
2004-12,8.2
2005-01,8.4
2005-02,8.8
2005-03,8.6
2005-04,7.2
2005-05,7
2005-06,6.9
2005-07,6.3
2005-08,6.1
2005-09,5.9
2005-10,6.8
2005-11,6.7
2005-12,6.8
2006-01,7.6
2006-02,8.1
2006-03,7.6
2006-04,7.1
2006-05,6.7
2006-06,6.5
2006-07,7.2
2006-08,6.9
2006-09,7
2006-10,7
2006-11,7
2006-12,7.4
2007-01,7
2007-02,7.4
2007-03,7
2007-04,6.8
2007-05,6.2
2007-06,6.3
2007-07,6
2007-08,5.8
2007-09,5.7
2007-10,5.9
2007-11,5.9
2007-12,6.1
2008-01,6.1
2008-02,6.3
2008-03,6.1
2008-04,5.5
2008-05,5.4
2008-06,5.5
2008-07,5.3
2008-08,5.1
2008-09,5
2008-10,5.7
2008-11,5.3
2008-12,5.9
2009-01,6.4
2009-02,6.8
2009-03,6.5
2009-04,6
2009-05,5.9
2009-06,6
2009-07,6.4
2009-08,6.4
2009-09,6.5
2009-10,7
2009-11,7.1
2009-12,7.3
2010-01,7.7
2010-02,7.7
2010-03,7.9
2010-04,6.7
2010-05,6.4
2010-06,6.5
2010-07,6.6
2010-08,6.7
2010-09,6.4
2010-10,6.8
2010-11,7.1
2010-12,7
2011-01,7.5
2011-02,7.3
2011-03,7.1
2011-04,7.2
2011-05,6.8
2011-06,6.8
2011-07,6.9
2011-08,7
2011-09,7.1
2011-10,7.2
2011-11,7.5
2011-12,7.6
2012-01,7.5
2012-02,7.1
2012-03,7.3
2012-04,6.8
2012-05,6.7
2012-06,6.5
2012-07,6.7
2012-08,6.4
2012-09,6.6
2012-10,6.5
2012-11,6.6
2012-12,6.9
2013-01,7.1
2013-02,7.2
2013-03,7.5
2013-04,7.5
2013-05,6.8
2013-06,7.5
2013-07,6.7
2013-08,6.8
2013-09,6.8
2013-10,7
2013-11,7
2013-12,7.2
2014-01,7.2
2014-02,7.2
2014-03,7.3
2014-04,7
2014-05,6.4
2014-06,6.8
2014-07,6.5
2014-08,6.7
2014-09,6.4
2014-10,6.6
2014-11,7
2014-12,6.6
2015-01,7.5
2015-02,7.4
2015-03,7.2
2015-04,7
2015-05,6.6
2015-06,6.6
2015-07,6.4
2015-08,6.7
2015-09,6.6
2015-10,6.5
2015-11,6.7
2015-12,6.8
2016-01,6.7
2016-02,6.5
2016-03,6.6
2016-04,6
2016-05,5.8
2016-06,5.7
2016-07,5.7
2016-08,5.6
2016-09,5.8
2016-10,5.3
2016-11,5.4
2016-12,5.6
2017-01,5.3
2017-02,5.5
2017-03,5.5
2017-04,4.7
2017-05,4.9
2017-06,4.7
2017-07,4.8
2017-08,4.8
2017-09,4.7
2017-10,4.7
2017-11,4.8
2017-12,4.8
2018-01,4.7
2018-02,4.6
2018-03,4.6
2018-04,4.3
2018-05,4.1
2018-06,4
2018-07,3.9
2018-08,3.9
2018-09,3.7
2018-10,4.1
2018-11,4.2
2018-12,4.1
2019-01,4.2
2019-02,4.1
2019-03,4
2019-04,3.9
2019-05,3.8
2019-06,3.6
2019-07,3.9
2019-08,3.7
2019-09,4
2019-10,3.8
2019-11,4
2019-12,4.1
2020-01,3.8
2020-02,4.4
2020-03,4.7
2020-04,5.2
2020-05,5.4
2020-06,5.5
2020-07,5.4
2020-08,5.2
2020-09,5.1
2020-10,5
2020-11,5.1
2020-12,5.3
