DATE,VALUE
2000-01,19
2000-02,19.3
2000-03,19.4
2000-04,19
2000-05,19
2000-06,19.6
2000-07,20
2000-08,18.5
2000-09,18
2000-10,17.8
2000-11,18.3
2000-12,19
2001-01,20.2
2001-02,20.1
2001-03,19.9
2001-04,19.7
2001-05,19.3
2001-06,19.6
2001-07,19.6
2001-08,19.3
2001-09,18.9
2001-10,18.7
2001-11,18.9
2001-12,19.3
2002-01,19.9
2002-02,19.7
2002-03,19.4
2002-04,18.9
2002-05,18.8
2002-06,18.9
2002-07,18.9
2002-08,18.5
2002-09,18.1
2002-10,17.9
2002-11,18.1
2002-12,18.6
2003-01,19
2003-02,18.7
2003-03,18.3
2003-04,17.5
2003-05,17.1
2003-06,17.2
2003-07,17.3
2003-08,17.3
2003-09,17
2003-10,16.9
2003-11,17.4
2003-12,18.6
2004-01,19.5
2004-02,19.7
2004-03,19.6
2004-04,19.2
2004-05,18.7
2004-06,18.3
2004-07,18
2004-08,17.5
2004-09,17.6
2004-10,17.2
2004-11,17.3
2004-12,17.7
2005-01,18
2005-02,17.7
2005-03,17.5
2005-04,16.8
2005-05,16.4
2005-06,16.2
2005-07,15.9
2005-08,15.6
2005-09,16
2005-10,15.6
2005-11,15.3
2005-12,15.5
2006-01,15.5
2006-02,15.1
2006-03,14.6
2006-04,14
2006-05,13.5
2006-06,13.3
2006-07,13.2
2006-08,12.9
2006-09,12.9
2006-10,12.4
2006-11,12.1
2006-12,12.1
2007-01,12
2007-02,11.7
2007-03,11.5
2007-04,11.3
2007-05,11.2
2007-06,11.4
2007-07,11.5
2007-08,11.3
2007-09,11.4
2007-10,10.7
2007-11,10.4
2007-12,10.4
2008-01,10.6
2008-02,10.6
2008-03,10.4
2008-04,10.3
2008-05,10.2
2008-06,9.8
2008-07,9.3
2008-08,8.8
2008-09,8.8
2008-10,8.5
2008-11,8.6
2008-12,9
2009-01,9.9
2009-02,10.5
2009-03,11.1
2009-04,11.1
2009-05,11.3
2009-06,11.7
2009-07,12.2
2009-08,12.4
2009-09,13.3
2009-10,13.6
2009-11,13.9
2009-12,14.4
2010-01,15.2
2010-02,15.4
2010-03,15.2
2010-04,14.7
2010-05,14.4
2010-06,14.4
2010-07,14.3
2010-08,14
2010-09,14.4
2010-10,14.1
2010-11,13.9
2010-12,14
2011-01,14.2
2011-02,14.1
2011-03,13.9
2011-04,13.5
2011-05,13.2
2011-06,13.2
2011-07,13.2
2011-08,13.1
2011-09,13.6
2011-10,13.9
2011-11,14.1
2011-12,14.2
2012-01,14.2
2012-02,14.1
2012-03,14
2012-04,13.7
2012-05,13.5
2012-06,13.6
2012-07,13.6
2012-08,13.6
2012-09,13.9
2012-10,14.2
2012-11,14.5
2012-12,14.6
2013-01,14.7
2013-02,14.6
2013-03,14.4
2013-04,14.1
2013-05,13.9
2013-06,14.1
2013-07,14
2013-08,13.9
2013-09,14.2
2013-10,14.3
2013-11,14.2
2013-12,14.3
2014-01,14.3
2014-02,14.2
2014-03,13.9
2014-04,13.4
2014-05,13.1
2014-06,13
2014-07,13
2014-08,12.9
2014-09,12.8
2014-10,12.7
2014-11,12.6
2014-12,12.6
2015-01,12.7
2015-02,12.5
2015-03,12.1
2015-04,11.5
2015-05,11.1
2015-06,11.2
2015-07,11.3
2015-08,11.2
2015-09,11.4
2015-10,11.2
2015-11,11
2015-12,10.8
2016-01,10.6
2016-02,10.4
2016-03,10.1
2016-04,9.8
2016-05,9.6
2016-06,9.5
2016-07,9.5
2016-08,9.5
2016-09,9.6
2016-10,9.3
2016-11,9.1
2016-12,9
2017-01,8.9
2017-02,8.7
2017-03,8.5
2017-04,8.3
2017-05,8.1
2017-06,7.9
2017-07,7.9
2017-08,7.9
2017-09,8.1
2017-10,7.9
2017-11,7.7
2017-12,7.6
2018-01,7.4
2018-02,7.1
2018-03,6.8
2018-04,6.7
2018-05,6.6
2018-06,6.6
2018-07,6.4
2018-08,6.3
2018-09,6.4
2018-10,6.2
2018-11,6.1
2018-12,5.9
2019-01,6
2019-02,5.8
2019-03,5.7
2019-04,5.6
2019-05,5.7
2019-06,5.8
2019-07,5.9
2019-08,5.8
2019-09,5.9
2019-10,5.7
2019-11,5.6
2019-12,5.7
2020-01,6
2020-02,6
2020-03,5.9
2020-04,6.5
2020-05,6.6
2020-06,6.8
2020-07,7.2
2020-08,7.3
2020-09,7.2
2020-10,7
2020-11,6.9
2020-12,7
